Station;Station alias;Date established;Date closed;Declared reporting status;Calculated reporting status;Station type;WIGOS Station Identifier(s);WMO Region;Country;Latitude;Longitude;Elevation;Geopositioning method;Time zone;Supervising organization;Station URL;Other link (URL);Site description;Climate zone;Predominant surface cover;Surface roughness;Topography or bathymetry;Population in 10km/50km;Programs/Network affiliation
HERAT;;;;Operational;Operational;Land (fixed);0-20000-0-40938|primary;Asia;Afghanistan;34.2166666667;62.2166666667;;;;AMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);EVAP;M/B;RBCN;RBSN(ST);SOILTEMP;SUNDUR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
KABUL AIRPORT;;1954-01-01;;Operational;Operational;Land (fixed);0-20000-0-40948|primary;Asia;Afghanistan;34.55;69.2166666667;;;;AMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);M/B;RBSN(T);SUNDUR;WR (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBSN(T):Operational
KANDAHAR AIRPORT;;;;Operational;Operational;Land (fixed);0-20000-0-40990|primary;Asia;Afghanistan;31.5;65.85;;;;AMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);M/B;RBCN;RBSN(S) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Station making reports of sudden changes.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(S):Operational
BOGRA;;1936-01-01;;Operational;Operational;Land (fixed);0-20000-0-41883|primary;Asia;Bangladesh;24.85;89.3666666667;18;;;BMD;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: AGRIMET;CLIMAT(C);EVAP;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
CHITTAGONG (AMBAGAN);;1982-01-01;;Operational;Operational;Land (fixed);0-20000-0-41977|primary;Asia;Bangladesh;22.35;91.8166666667;33;;;BMD;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST);SEISMO (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: Seismological observations.";;;;;;GOS:Operational, RBSN(ST):Operational
DHAKA;;;;Operational;Operational;Land (fixed);0-20000-0-41923|primary;Asia;Bangladesh;23.7666666667;90.3833333333;8;;;BMD;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;CLIMAT(C);METAR;RAREP;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational, WRO:Operational
ALTAY;;1938-01-01;;Operational;Operational;Land (fixed);0-20000-0-51076|primary;Asia;China;47.7333333333;88.0833333333;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
ANQING;;1934-01-01;;Operational;Operational;Land (fixed);0-20000-0-58424|primary;Asia;China;30.6166666667;116.9666666667;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(ST):Operational
BAISE;;1939-01-01;;Operational;Operational;Land (fixed);0-20000-0-59211|primary;Asia;China;23.9;106.6;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
BEIJING;;1841-01-01;;Operational;Operational;Land (fixed);0-20000-0-54511|primary;Asia;China;39.9333333333;116.2833333333;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, CTBTO:Operational, GCW:Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
CHANGCHUN;;1909-01-01;;Operational;Operational;Land (fixed);0-20000-0-54161|primary;Asia;China;43.9;125.2166666667;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
CHENZHOU;;1936-01-01;;Operational;Operational;Land (fixed);0-20000-0-57972|primary;Asia;China;25.7352777778;112.9738888889;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(ST):Operational
CHIFENG (54218-1);;;;Operational;Operational;Land (fixed);0-20001-0-54218|primary;Asia;China;42.3;118.8333333333;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(T):Operational
CHONGQING (57516-1);;;;Operational;Operational;Land (fixed);0-20001-0-57516|primary;Asia;China;29.6;106.4;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(T):Operational
DALIAN;;1905-01-01;;Operational;Operational;Land (fixed);0-20000-0-54662|primary;Asia;China;38.9;121.6333333333;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBSN(ST):Operational
DOULAN;;1940-01-01;;Operational;Operational;Land (fixed);0-20000-0-52836|primary;Asia;China;36.3;98.1;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GCW:Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
DUNHUANG;;1937-01-01;;Operational;Operational;Land (fixed);0-20000-0-52418|primary;Asia;China;40.15;94.6833333333;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
EJIN QI;;1957-01-01;;Operational;Operational;Land (fixed);0-20000-0-52267|primary;Asia;China;41.95;101.0666666667;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
ENSHI;;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-57447|primary;Asia;China;30.2833333333;109.4666666667;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(ST):Operational
ERENHOT (53068-1);;;;Operational;Operational;Land (fixed);0-20001-0-53068|primary;Asia;China;43.6333333333;111.95;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: GUAN;RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GOS:Operational, GUAN:Operational, RBSN(T):Operational
FUYANG;;1953-01-01;;Operational;Operational;Land (fixed);0-20000-0-58203|primary;Asia;China;32.8666666667;115.7333333333;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(ST):Operational
FUZHOU;;1905-01-01;;Operational;Operational;Land (fixed);0-20000-0-58847|primary;Asia;China;26.0833333333;119.2833333333;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
GANZHOU (57993-1);;;;Operational;Operational;Land (fixed);0-20001-0-57993|primary;Asia;China;25.8666666667;115;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(T):Operational
GARZE;;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-56146|primary;Asia;China;31.6166666667;100;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(T):Operational
GOLMUD;;1955-01-01;;Operational;Operational;Land (fixed);0-20000-0-52818|primary;Asia;China;36.4166666667;94.9;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GCW:Operational, GOS:Operational, RBSN(ST):Operational
GUILIN;;1935-01-01;;Operational;Operational;Land (fixed);0-20000-0-57957|primary;Asia;China;25.3333333333;110.3;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(ST):Operational
GUIYANG (57816-1);;1920-01-01;;Operational;Operational;Land (fixed);0-20001-0-57816|primary;Asia;China;26.4833333333;106.65;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(T):Operational
HAIKOU;;1928-01-01;;Operational;Operational;Land (fixed);0-20000-0-59758|primary;Asia;China;20;110.25;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
HAILAR (50527-1);;;;Operational;Operational;Land (fixed);0-20001-0-50527|primary;Asia;China;49.25;119.7;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: GUAN;RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GOS:Operational, GUAN:Operational, RBSN(T):Operational
HAMI;;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-52203|primary;Asia;China;42.8166666667;93.5166666667;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
HANGZHOU;;1904-01-01;;Operational;Operational;Land (fixed);0-20000-0-58457|primary;Asia;China;30.2333333333;120.1666666667;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(ST):Operational
HANZHONG;;1935-01-01;;Operational;Operational;Land (fixed);0-20000-0-57127|primary;Asia;China;33.0666666667;107.0333333333;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBSN(ST):Operational
HARBIN (50953-1);;;;Operational;Operational;Land (fixed);0-20001-0-50953|primary;Asia;China;45.9333333333;126.5666666667;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(T):Operational
HEZUO;;1957-01-01;;Operational;Operational;Land (fixed);0-20000-0-56080|primary;Asia;China;35;102.9;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GCW:Operational, GOS:Operational, RBSN(ST):Operational
HOHHOT;;1915-01-01;;Operational;Operational;Land (fixed);0-20000-0-53463|primary;Asia;China;40.85;111.5666666667;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
HONGJIA;;1950-05-01;;Operational;Operational;Land (fixed);0-20000-0-58665|primary;Asia;China;28.6166666667;121.4166666667;4.6;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(T):Operational
HOTAN;;1942-01-01;;Operational;Operational;Land (fixed);0-20000-0-51828|primary;Asia;China;37.1333333333;79.9333333333;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
HUAIHUA;;1980-01-01;;Operational;Operational;Land (fixed);0-20000-0-57749|primary;Asia;China;27.5666666667;110;257.8;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(T):Operational
JINGHE (57131-0);;;;Operational;Operational;Land (fixed);0-20000-0-57131|primary;Asia;China;34.4333333333;108.9666666667;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBSN(ST):Operational
JIUQUAN;;1934-01-01;;Operational;Operational;Land (fixed);0-20000-0-52533|primary;Asia;China;39.7666666667;98.4833333333;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
KASHI;;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-51709|primary;Asia;China;39.4833333333;75.75;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;GUAN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, GSN:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
KUNMING;;1921-01-01;;Operational;Operational;Land (fixed);0-20000-0-56778|primary;Asia;China;25.0166666667;102.6833333333;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: GUAN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GOS:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
KUQA;;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-51644|primary;Asia;China;41.7166666667;82.95;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
LHASA;;1935-01-01;;Operational;Operational;Land (fixed);0-20000-0-55591|primary;Asia;China;29.6666666667;91.1333333333;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
LINHE;;1957-01-01;;Operational;Operational;Land (fixed);0-20000-0-53513|primary;Asia;China;40.7333333333;107.3666666667;1041;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GCW:Operational, GOS:Operational, RBSN(ST):Operational
LINJIANG;;1953-01-01;;Operational;Operational;Land (fixed);0-20000-0-54374|primary;Asia;China;41.8;126.8833333333;385;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(ST):Operational
MAZONG SHAN;;1957-01-01;;Operational;Operational;Land (fixed);0-20000-0-52323|primary;Asia;China;41.8;97.0333333333;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
MENGZI;;1928-01-01;;Operational;Operational;Land (fixed);0-20000-0-56985|primary;Asia;China;23.4444444444;103.3277777778;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
MINFENG;;1977-01-01;;Operational;Operational;Land (fixed);0-20000-0-51839|primary;Asia;China;37.0666666667;82.7166666667;1409.5;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(T):Operational
MINQIN;;1939-01-01;;Operational;Operational;Land (fixed);0-20000-0-52681|primary;Asia;China;38.6333333333;103.0833333333;1367;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GUAN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GUAN:Operational, RBCN:Operational, RBSN(ST):Operational
NAGQU;;1954-01-01;;Operational;Operational;Land (fixed);0-20000-0-55299|primary;Asia;China;31.4833333333;92.0666666667;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: GUAN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GCW:Operational, GOS:Operational, GUAN:Operational, RBSN(ST):Operational
NANCHANG;;1929-01-01;;Operational;Operational;Land (fixed);0-20000-0-58606|primary;Asia;China;28.6;115.9166666667;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
NANJING;;1905-01-01;;Operational;Operational;Land (fixed);0-20000-0-58238|primary;Asia;China;31.9333333333;118.9;32;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
NANNING;;1922-01-01;;Operational;Operational;Land (fixed);0-20000-0-59431|primary;Asia;China;22.7833333333;108.55;152;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
NANYANG;;1934-01-01;;Operational;Operational;Land (fixed);0-20000-0-57178|primary;Asia;China;33.1;112.4833333333;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GCW:Operational, GOS:Operational, RBSN(ST):Operational
NENJIANG;;1939-01-01;;Operational;Operational;Land (fixed);0-20000-0-50557|primary;Asia;China;49.1666666667;125.2333333333;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GCW:Operational, GOS:Operational, RBSN(ST):Operational
PINGLIANG;KONGTONG;1937-01-01;;Operational;Operational;Land (fixed);0-20000-0-53915|primary;Asia;China;35.5333333333;106.6666666667;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GCW:Operational, GOS:Operational, RBSN(ST):Operational
QAMDO (56137-1);;;;Operational;Operational;Land (fixed);0-20001-0-56137|primary;Asia;China;31.15;97.1666666667;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(T):Operational
QINGDAO;;1898-01-01;;Operational;Operational;Land (fixed);0-20000-0-54857|primary;Asia;China;36.0666666667;120.3333333333;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
QINGYUAN (59280-0);;1996-01-01;;Operational;Operational;Land (fixed);0-20000-0-59280|primary;Asia;China;23.7166666667;113.0833333333;79.2;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(T):Operational
QU XIAN;QUZHOU;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-58633|primary;Asia;China;28.9666666667;118.8666666667;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
RUOQIANG;;1953-01-01;;Operational;Operational;Land (fixed);0-20000-0-51777|primary;Asia;China;39.0333333333;88.1666666667;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
SHANGHAI (BAOSHAN);;1847-01-01;;Operational;Operational;Land (fixed);0-20000-0-58362|primary;Asia;China;31.4166666667;121.45;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
SHANTOU (59316-1);;1924-01-01;;Operational;Operational;Land (fixed);0-20001-0-59316|primary;Asia;China;23.35;116.6666666667;4;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(T):Operational
SHAOWU;;1956-01-01;;Operational;Operational;Land (fixed);0-20000-0-58725|primary;Asia;China;27.3333333333;117.4666666667;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(ST):Operational
SHENYANG;;1905-01-01;;Operational;Operational;Land (fixed);0-20000-0-54342|primary;Asia;China;41.7333333333;123.5166666667;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);GSN;RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GCW:Operational, GOS:Operational, GSN:Operational, RBCN:Operational, RBSN(ST):Operational
SHEYANG;;1954-01-01;;Operational;Operational;Land (fixed);0-20000-0-58150|primary;Asia;China;33.75;120.3;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(ST):Operational
SIMAO;;1951-01-01;;Operational;Operational;Land (fixed);0-20000-0-56964|primary;Asia;China;22.7666666667;100.9833333333;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: CLIMAT(C);RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;CLIMAT(C):Operational, GOS:Operational, RBCN:Operational, RBSN(ST):Operational
TAIBEI;;1897-01-01;;Operational;Operational;Land (fixed);0-20000-0-58968|primary;Asia;China;25.0333333333;121.5166666667;;;;CMA;;;"The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBCN;RBSN(ST) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.";;;;;;GOS:Operational, RBCN:Operational, RBSN(ST):Operational
TAIYUAN (53772-1);;;;Operational;Operational;Land (fixed);0-20001-0-53772|primary;Asia;China;37.6205555556;112.5766666667;;;;CMA;;;The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: RBSN(T) (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.;;;;;;GOS:Operational, RBSN(T):Operational
